Sno,IOC,Status,Link,last_analysis_stats,Country,whois_date,Last_Modification_Date,AS_Owner
1,1.14.17.89,"Malicious (Mal:7, Sus:0)",https://www.virustotal.com/gui/ip-address/1.14.17.89,"{'malicious': 7, 'suspicious': 0, 'undetected': 33, 'harmless': 55, 'timeout': 0}",China,2025-10-20T17:14:47+00:00,2025-11-04T22:47:16+00:00,Shenzhen Tencent Computer Systems Company Limited
2,1.179.247.182,"Malicious (Mal:1, Sus:0)",https://www.virustotal.com/gui/ip-address/1.179.247.182,"{'malicious': 1, 'suspicious': 0, 'undetected': 35, 'harmless': 59, 'timeout': 0}",Thailand,2025-07-29T16:31:54+00:00,2025-11-15T00:30:03+00:00,Internet Data Center Service
3,1.209.249.188,"Malicious (Mal:1, Sus:0)",https://www.virustotal.com/gui/ip-address/1.209.249.188,"{'malicious': 1, 'suspicious': 0, 'undetected': 35, 'harmless': 59, 'timeout': 0}",Korea (the Republic of),2025-04-07T04:48:35+00:00,2025-11-15T00:30:15+00:00,LG DACOM Corporation
4,1.23.82.72,"Malicious (Mal:1, Sus:0)",https://www.virustotal.com/gui/ip-address/1.23.82.72,"{'malicious': 1, 'suspicious': 0, 'undetected': 33, 'harmless': 61, 'timeout': 0}",India,2025-10-30T13:18:09+00:00,2025-11-25T06:45:42+00:00,Tikona Infinet Ltd.
5,1.234.2.232,"Malicious (Mal:12, Sus:0)",https://www.virustotal.com/gui/ip-address/1.234.2.232,"{'malicious': 12, 'suspicious': 0, 'undetected': 32, 'harmless': 51, 'timeout': 0}",Korea (the Republic of),2025-10-29T07:29:59+00:00,2025-11-26T19:09:40+00:00,SK Broadband Co Ltd
6,101.204.24.28,"Malicious (Mal:2, Sus:1)",https://www.virustotal.com/gui/ip-address/101.204.24.28,"{'malicious': 2, 'suspicious': 1, 'undetected': 33, 'harmless': 59, 'timeout': 0}",China,2025-10-29T20:49:13+00:00,2025-11-26T20:48:10+00:00,CHINA UNICOM China169 Backbone
7,101.35.154.34,"Malicious (Mal:3, Sus:0)",https://www.virustotal.com/gui/ip-address/101.35.154.34,"{'malicious': 3, 'suspicious': 0, 'undetected': 34, 'harmless': 58, 'timeout': 0}",China,2025-10-29T20:49:12+00:00,2025-11-26T20:48:09+00:00,Shenzhen Tencent Computer Systems Company Limited
8,101.71.37.219,"Malicious (Mal:2, Sus:1)",https://www.virustotal.com/gui/ip-address/101.71.37.219,"{'malicious': 2, 'suspicious': 1, 'undetected': 35, 'harmless': 57, 'timeout': 0}",China,2025-10-04T10:45:12+00:00,2025-11-17T22:34:00+00:00,CHINA UNICOM China169 Backbone
9,101.71.37.47,"Malicious (Mal:2, Sus:0)",https://www.virustotal.com/gui/ip-address/101.71.37.47,"{'malicious': 2, 'suspicious': 0, 'undetected': 35, 'harmless': 58, 'timeout': 0}",China,2025-09-05T09:08:18+00:00,2025-10-16T11:21:36+00:00,CHINA UNICOM China169 Backbone
10,101.71.38.179,"Malicious (Mal:4, Sus:1)",https://www.virustotal.com/gui/ip-address/101.71.38.179,"{'malicious': 4, 'suspicious': 1, 'undetected': 33, 'harmless': 57, 'timeout': 0}",China,2025-09-05T09:09:38+00:00,2025-10-16T11:22:41+00:00,CHINA UNICOM China169 Backbone
